Relationship ID,Source Entity,Source Entity ID,Relationship,Relationship Type ID,Target Entity,Target Entity ID,Description,Direction,Status,Version
REL-045,Opportunity,ENT-026,TARGETS,RTYPE-019,Market,ENT-034,Opportunities target markets,forward,active,1.0.0
REL-046,Contract,ENT-029,RELATED_TO,RTYPE-014,Customer,ENT-030,Contracts bind customers,bidirectional,active,1.0.0
REL-047,Meeting,ENT-027,RELATED_TO,RTYPE-014,Customer,ENT-030,Meetings involve customers,bidirectional,active,1.0.0
REL-048,Source,ENT-024,PROVIDES,RTYPE-005,Document,ENT-023,Sources provide documents,forward,active,1.0.0
REL-049,Dataset,ENT-040,REFERENCES,RTYPE-020,Source,ENT-024,Datasets may reference sources,forward,active,1.0.0
REL-050,Company,ENT-003,BELONGS_TO,RTYPE-002,Organization,ENT-001,Company specializes Organization,forward,active,1.0.0
REL-051,Company,ENT-003,OWNS,RTYPE-004,Asset,ENT-032,Company may own assets,forward,active,1.0.0
REL-052,Company,ENT-003,MANAGES,RTYPE-013,Business Process,ENT-013,Company manages business processes,forward,active,1.0.0
REL-053,Opportunity,ENT-026,RELATED_TO,RTYPE-014,Competitor,ENT-020,Opportunities may involve competitors,bidirectional,active,1.0.0
REL-054,Solution,ENT-006,DEPENDS_ON,RTYPE-009,Technology,ENT-008,Solutions may depend on technologies,forward,active,1.0.0
REL-055,Product,ENT-004,USES,RTYPE-003,Technology,ENT-008,Products may use technologies,forward,active,1.0.0
