Opportunity ID,Company ID,Opportunity Name,Opportunity Type,Industry,Business Unit,Current Situation,Business Challenge,Pain Point,Business Need,Opportunity Description,Proposed Solution,Value Proposition,Estimated Budget,Estimated Revenue,Estimated Gross Margin,Decision Maker,Influencer,Procurement Method,Timeline,Competitors,Win Strategy,Risks,Mitigation Plan,Cross Selling Opportunity,Upselling Opportunity,Probability (%),Opportunity Score,Next Action,Opportunity Status,Owner,Last Updated,Notes
OPP-011,COMP-011,Modernisasi Core Banking & Open API Platform,New Business,Perbankan,Digital Banking,"Core banking legacy berusia 15 tahun, proses batch malam hari, kesulitan integrasi dengan fintech dan e-commerce.","Tekanan OJK untuk real-time reporting dan open banking, kompetisi dari bank digital dan fintech yang lebih agile.","Waktu transaksi rata-rata 4-7 detik, launch produk baru memakan waktu 6-9 bulan, biaya maintenance legacy tinggi.","Platform core modern berbasis microservices dengan API-first, real-time processing, dan kemampuan open banking.",Transformasi core banking legacy ke platform modern hybrid cloud dengan kemampuan open API dan real-time ledger.,Core Banking Modernization + Open Banking Gateway + Managed Cloud Services,"Time-to-market produk baru turun 65%, biaya operasional IT turun 30%, compliance OJK real-time terpenuhi",Rp95 Miliar,Rp95 Miliar,28%,CIO / Direktur Teknologi,"CFO, Chief Risk Officer, Compliance Head",Tender Terbatas,Q2 2027,"Temenos, FIS, Thought Machine, local player seperti Djarum Digital Banking",Fokus pada local implementation team berpengalaman OJK + template compliance + phased migration dengan parallel run,"Data migration error saat cutover, resistensi tim IT internal terhadap perubahan arsitektur",Parallel run 4 bulan + automated reconciliation tools + dedicated data migration specialist + rollback plan teruji,"AI Fraud Detection Module, Customer 360 & Analytics Platform, Digital Onboarding KYC","Open Banking as a Service, Embedded Finance Platform",55,74,Presentasi Proof of Concept & Architecture Deep Dive,Qualification,Tim Digital Transformation,2026-07-09,Butuh reference project bank BUKU III/IV; RFP kemungkinan keluar Agustus 2026
OPP-012,COMP-012,PLTS Atap + BESS untuk Pabrik Kelapa Sawit 8 MWp,Expansion,Pertanian & Perkebunan,Sustainability & Operations,"Pabrik CPO dan kebun menggunakan genset diesel + PLN dengan biaya BBM dan tarif tinggi, target ESG dari buyer Eropa.","Fluktuasi harga CPO global, tuntutan traceability dan rendah karbon dari buyer internasional, biaya energi naik 18% YoY.","Biaya energi per ton CPO tinggi, risiko supply BBM di remote area, tekanan ESG score dari offtaker.",Solusi energi terbarukan tanpa CAPEX awal besar dengan penghematan OPEX signifikan dan sertifikasi karbon.,Instalasi PLTS atap + ground mount 8 MWp + BESS 12 MWh di 2 lokasi pabrik dengan skema ESCO/PPA 15 tahun.,Solar EPC + BESS Hybrid + Carbon Credit Monetization + O&M 15 Tahun,"Penghematan biaya energi 22% per tahun, sertifikasi ISCC & carbon credit revenue tambahan, ROI positif sejak tahun ke-4",Rp78 Miliar,Rp78 Miliar,22%,Direktur Operasional & Sustainability,"CFO, Procurement Head, ESG Committee",Penunjukan Langsung,Q1 2027,"Xurya, Suryadaya, Equis, TotalEnergies Renewables",Bundling dengan carbon advisory & ISCC certification support + local content tinggi + financing partner,"Izin lahan dan grid connection di kebun remote, fluktuasi harga CPO memengaruhi cashflow klien","Site survey & permitting dimulai 5 bulan sebelum, struktur PPA dengan floor price + escalation clause","Energy Management System (EMS), Methane Capture untuk POME, Sustainable Supply Chain Traceability Platform","EV Charging untuk armada kebun & transport, Solar untuk perumahan karyawan",70,81,Site Survey & Energy Audit Detail + Financial Model,Discovery,Tim Energi,2026-07-08,Klien sudah punya MoU dengan buyer Eropa yang mensyaratkan Scope 3 reduction; potensi repeat business tinggi
OPP-013,COMP-013,AI Omnichannel Customer Experience BPO untuk Marketplace,New Business,E-Commerce & Marketplace,Customer Experience,"Volume chat & call melonjak 4x saat event besar (Harbolnas, 11.11), agent in-house kewalahan, CSAT turun ke 72%.","Pertumbuhan GMV 45% YoY tapi CSAT dan response time tidak scalable, kompetitor marketplace punya CX lebih baik.","Response time rata-rata 8 menit di chat, agent turnover tinggi, knowledge base tidak terupdate, banyak repeat complaint.",Solusi CX scalable on-demand dengan AI hybrid + human agent yang bisa naik-turun sesuai peak season tanpa training lama.,"Pengelolaan 400 seat omnichannel (chat, voice, email, social) + AI Agent + Knowledge Base + Quality Assurance untuk marketplace nasional.",BPO Omnichannel + Generative AI Agent + CRM Integration + Real-time Analytics Dashboard,"Response time <60 detik (AI) & <3 menit (human), CSAT naik ke 88%+, biaya per contact turun 35% saat peak",Rp42 Miliar,Rp42 Miliar,32%,VP Customer Experience / Chief Operating Officer,"Head of Operations, CFO",Beauty Contest,Q4 2026,"VADS, Infomedia, Transcosmos, Sitel",AI-first hybrid model dengan bahasa Indonesia natural + integrasi native ke platform klien + pricing pay-per-productive-hour,"Integrasi API ke existing CRM & order management lambat, kualitas AI handling bahasa daerah & slang",Dedicated integration team + 2 minggu parallel shadow mode + continuous fine-tuning AI dengan feedback loop harian,"Social Media Listening & Sentiment Analysis, Order Management BPO, Returns & Reverse Logistics Handling","Voicebot untuk inbound sales & upsell, Customer Loyalty Program Management",78,86,Finalisasi Scope of Work & Pilot 50 seat selama 6 minggu,Negotiation,Tim BPO,2026-07-10,Pilot AI Voicebot sudah sukses di bucket collection; klien minta perluasan ke full omnichannel
OPP-014,COMP-014,Zero Trust Cybersecurity & Managed SOC untuk RS Swasta Jaringan,Cross Sell,Kesehatan,IT Security & Compliance,"Jaringan 12 rumah sakit sudah migrasi ke cloud hybrid tapi security posture masih perimeter-based, banyak endpoint tidak terproteksi.","Ancaman ransomware meningkat di sektor kesehatan, kewajiban compliance Permenkes & UU PDP untuk data pasien sensitif.","Waktu deteksi insiden rata-rata 47 hari, false positive tinggi, belum ada 24/7 monitoring, audit Kementerian sering temukan gap.",Arsitektur Zero Trust end-to-end + SOC 24/7 dengan kemampuan threat hunting dan incident response cepat untuk data kesehatan.,"Implementasi Zero Trust Network Access (ZTNA), EDR/XDR, Identity Governance + Managed SOC dengan fokus healthcare compliance.",Zero Trust Architecture + Managed Detection & Response (MDR) + Compliance Advisory (Permenkes & PDP),"MTTD <15 menit, MTTR <4 jam, compliance score naik ke 95%+, asuransi cyber lebih murah 20%",Rp18 Miliar,Rp18 Miliar,38%,CISO / Direktur RS Induk,"CMIO, Legal & Compliance Director, CFO",Direct Sales,Q3 2026,"Lintas Teknologi, Cyberindo, Fortinet MSSP, Palo Alto Prisma",Healthcare-specific playbooks + local SOC dengan dokter & perawat sebagai threat analyst + bundling dengan existing network infra,"Integrasi dengan legacy HIS/EMR system, dokter & perawat resistance terhadap additional security layer",Change management program + shadow mode 1 bulan + training khusus untuk clinical staff + minimal friction workflow,"Penetration Testing & Red Teaming, Data Loss Prevention (DLP) untuk rekam medis, Secure Backup & DR for PACS",Cybersecurity Awareness Training Platform dengan simulasi phishing untuk tenaga kesehatan,82,89,Kick-off Assessment & Current State Security Posture Review,Won,Tim Cybersecurity,2026-07-07,Kontrak sudah ditandatangani; kick-off meeting dijadwalkan 15 Juli 2026
OPP-015,COMP-015,Smart Warehouse & WMS Automation dengan Robotics untuk 3PL,New Business,Logistik & 3PL,Supply Chain & Warehouse,"Gudang manual dengan paper-based putaway & picking, error rate 4.2%, throughput rendah saat peak e-commerce.","Pertumbuhan volume 60% YoY dari klien e-commerce, kekurangan tenaga kerja gudang skilled, SLA dengan marketplace ketat.","Order fulfillment time 18 jam rata-rata, picking error menyebabkan return tinggi, biaya overtime gudang melonjak.",Warehouse Management System modern + semi-automation (AMR/AGV) untuk meningkatkan throughput dan akurasi tanpa CAPEX besar.,Implementasi WMS cloud + Autonomous Mobile Robots (AMR) + Voice Picking + Real-time visibility dashboard untuk 3 gudang utama.,WMS SaaS + Robotics as a Service (RaaS) + Integration ke Marketplace & TMS + 3PL Analytics,"Fulfillment time turun ke 6 jam, picking accuracy 99.7%, throughput naik 2.8x, biaya per order turun 28%",Rp65 Miliar,Rp65 Miliar,25%,CEO & COO 3PL,"VP Operations, CFO, IT Director",Tender Terbuka,Q1 2027,"MHE-Demag, SSI Schaefer, local integrator seperti Total Logistics, Zebra",RaaS model (no heavy CAPEX) + integrasi native ke Shopee/Tokopedia API + local support 24/7 + proven case di 3PL competitor,"Integrasi dengan existing ERP & marketplace API kompleks, change management untuk picker manual",Phased rollout per gudang + super-user training + incentive program untuk early adopter + dedicated integration consultant,"Yard Management System, Last Mile Delivery Optimization, Returns Processing Automation","Predictive Inventory & Demand Forecasting Module, Value Added Services (kitting, customization)",48,68,Site Visit & Throughput Simulation di 2 gudang existing,Discovery,Tim Logistik & Supply Chain,2026-07-06,Kompetisi ketat; butuh value engineering untuk menurunkan TCO agar lebih kompetitif
OPP-016,COMP-016,RPA + Intelligent Document Processing untuk Asuransi Jiwa,New Business,Asuransi,Operations & Underwriting,"Proses underwriting & klaim masih manual-heavy, dokumen polis & klaim di-scan manual, backlog tinggi.","Target pertumbuhan polis baru 25% tapi capacity underwriting terbatas, regulator OJK minta turnaround time lebih cepat.","Waktu underwriting rata-rata 11 hari kerja, error input data 7%, customer complaint karena proses klaim lambat.","Automasi end-to-end dokumen (polis, SPPA, klaim, medical) dengan AI + RPA untuk percepat proses tanpa menambah headcount.","Implementasi Intelligent Document Processing (IDP) + RPA bots untuk underwriting, policy issuance, dan claims processing.",IDP Platform (AI OCR + NLP) + RPA Orchestration + Integration ke Core Insurance System + Dashboard Analytics,"Underwriting time turun ke 2 hari kerja, klaim processing 4 hari, error rate <0.5%, capacity naik 3x tanpa rekrut",Rp22 Miliar,Rp22 Miliar,42%,Chief Operating Officer / Direktur Operasional,"Chief Underwriter, Claims Director, CFO",RFP,Q4 2026,"UiPath + local partner, Automation Anywhere, Blue Prism, local RPA player","Pre-built insurance use cases (SPPA, medical claim, beneficiary) + local language model fine-tuned + ROI calculator dengan data klien","Akurasi OCR untuk dokumen handwritten & bahasa campur, integrasi ke legacy core insurance",Human-in-the-loop untuk kasus kompleks + continuous learning model + 3 bulan hypercare + dedicated insurance SME,"Chatbot Policyholder Service, Fraud Detection AI untuk klaim, Digital Onboarding & e-KYC","Predictive Underwriting Risk Scoring, Automated Reinsurance Placement",65,79,Proof of Concept 2 use case (new business & simple claim) selama 8 minggu,Proof of Concept,Tim Automation & RPA,2026-07-05,PoC scope sudah disetujui; kick-off 20 Juli. Potensi besar untuk cross-sell ke group life & health
OPP-017,COMP-017,Multi-Cloud FinOps & Landing Zone Governance untuk Konglomerat,Existing Client,Konglomerat & Holding,IT Governance & Cloud,"Multi-cloud (AWS, Azure, GCP, Alibaba) tanpa governance terpusat, cost overrun 35% YoY, shadow IT marak.","Board minta visibility & control biaya cloud, compliance SOX & internal audit finding banyak terkait akses & cost.","Tag tidak konsisten, idle resources tinggi, tidak ada chargeback/showback ke business unit, security posture berbeda antar cloud.","Centralized multi-cloud governance, FinOps practice, standardized landing zone, dan cost optimization program berkelanjutan.",Design & implementasi Multi-Cloud Landing Zone + FinOps CoE + Cloud Governance Framework + Automation untuk cost control.,Multi-Cloud Landing Zone (Well-Architected) + FinOps Platform + Policy as Code + Managed FinOps Service,"Cloud spend turun 22% dalam 6 bulan pertama, visibility 100% per BU, audit finding turun 80%, time-to-provision turun 70%",Rp28 Miliar,Rp28 Miliar,35%,Group CIO / Chief Digital Officer,"CFO, Internal Audit Head, BU IT Heads",Direct Negosiasi,Q3 2026,"Accenture Cloud, Deloitte Cloud, local MSP seperti Telkomsigma Cloud, Lintasarta",Vendor-agnostic + local delivery team + proven FinOps framework dari existing client + executive dashboard real-time untuk BOD,"Resistance dari BU yang sudah nyaman dengan cara sendiri, kompleksitas existing workloads",Phased migration per BU + incentive untuk early mover + extensive training & certification program + executive sponsor,"Cloud Security Posture Management (CSPM), Cloud Workload Protection, Sustainability (Carbon Footprint of Cloud)","AI Ops & AIOps Platform, Cloud-native Application Modernization Assessment",75,84,Current State Assessment & Quick Win Identification (4 minggu),Proposal Submitted,Tim Cloud & Infrastructure,2026-07-10,Proposal sudah masuk; menunggu feedback dari Group CFO & Internal Audit. Potensi kontrak 3 tahun
OPP-018,COMP-018,EV Fleet Conversion & Charging Infrastructure untuk Kurir Express,Expansion,Logistik & Kurir,Fleet & Sustainability,"Armada 2.800 motor & van diesel/bensin, biaya BBM & maintenance tinggi, target net-zero 2030 dari holding asing.","Harga BBM naik, regulasi emisi kota besar semakin ketat, kompetitor sudah mulai konversi EV dan klaim green logistics.","Total cost of ownership armada naik, range anxiety untuk rute jarak jauh, charging infrastructure belum ada di hub utama.",Roadmap konversi EV bertahap + charging infra + fleet management untuk menurunkan TCO dan memenuhi ESG commitment.,Studi kelayakan + pilot 150 unit EV + instalasi fast charging di 8 hub utama + Fleet Electrification Advisory & Project Management.,EV Fleet Consulting + Charging Infrastructure EPC + Fleet Management System EV + O&M Charging + ESG Reporting,"TCO per km turun 18% dalam 5 tahun, emisi Scope 1 turun 12% di tahun pertama, brand image green logistics",Rp55 Miliar,Rp55 Miliar,20%,Direktur Operasional & Sustainability,"CFO, Fleet Manager, Procurement",Tender Terbatas,Q2 2027,"BYD Fleet, VinFast, local charging player seperti Electrum, ChargeIN",End-to-end solution (vehicle + charging + software + advisory) + local financing partner + proven TCO model dari pilot existing,"Ketersediaan EV commercial van di Indonesia masih terbatas, grid capacity di beberapa hub tidak cukup",Phased approach (pilot dulu) + koordinasi dengan PLN untuk upgrade feeder + battery swapping option untuk rute panjang,"Solar + BESS untuk charging station (energy cost hedge), Route Optimization AI untuk EV, Driver Behavior Analytics","Battery as a Service (BaaS), Second Life Battery untuk stationary storage",60,73,Detailed Feasibility Study & TCO Modeling untuk 3 skenario konversi,Discovery,Tim Energi & Mobility,2026-07-04,Holding company sudah approve sustainability roadmap; butuh business case solid untuk BOD approval
OPP-019,COMP-019,Digital HR Transformation & Corporate University Platform untuk BUMN,New Business,BUMN & Pemerintahan,Human Capital,"18.000 karyawan dikelola dengan sistem HRIS fragmentasi, training manual, succession planning tidak terstruktur.","Target transformasi digital BUMN, kebutuhan talent digital tinggi, regulasi LKPP & BUMN untuk pengembangan SDM.","Waktu rekrutmen rata-rata 90 hari, training effectiveness rendah, knowledge loss saat pensiun massal, reporting ke Kementerian lambat.","Platform HR terintegrasi (Core HR, Payroll, Talent, Learning) + Corporate University digital dengan content lokal & compliance.",Implementasi HRIS Enterprise + Learning Experience Platform (LXP) + Talent Management Suite + Analytics untuk seluruh BUMN group.,HRIS + Corporate University Platform + Change Management & Content Development + Managed Service 5 Tahun,"Recruitment time turun 40%, training cost per employee turun 35%, visibility talent pipeline 100%, compliance reporting otomatis",Rp48 Miliar,Rp48 Miliar,30%,Direktur Human Capital / CHRO,"Direktur Keuangan, Sekretaris Perusahaan, Kepala Divisi Diklat",Tender Terbuka (LKPP),Q1 2027,"Gadjian, Pegawe, Talenta (Mekari), Cornerstone, local BUMN IT seperti Telkom",Local content & bahasa + integration dengan existing SAP HCM + proven implementation di BUMN lain + pricing kompetitif dengan value local,"Migrasi data master karyawan dari sistem lama kompleks, resistensi dari divisi HR di anak perusahaan",Dedicated data cleansing team + change management & communication plan + super user dari internal + phased go-live per direktorat,"Performance Management & OKR, Employee Engagement & Pulse Survey, HR Analytics & People Science","Executive Coaching Platform, Leadership Assessment & Development Center Digital",45,66,Presentasi ke Tim Penilai & User Acceptance Test Plan,Qualification,Ary Wibowo,2026-07-10,Ary Wibowo leading proposal; fokus pada value local content & pricing. Kompetisi dengan vendor BUMN kuat
OPP-020,COMP-020,Advanced Analytics & Customer 360 untuk Bank Retail,Cross Sell,Perbankan,Marketing & Analytics,"Data customer tersebar di core, CRM, mobile banking, kartu kredit; tidak ada single customer view, campaign targeting generik.","NPL retail naik, cross-sell ratio rendah, acquisition cost tinggi, kompetitor digital bank punya personalization lebih baik.","Campaign response rate <2%, customer churn naik 15% YoY, marketing spend tidak efektif, compliance marketing OJK ketat.",Customer Data Platform (CDP) + Advanced Analytics + Next Best Action engine untuk personalization & predictive.,"Implementasi Customer 360 Platform + AI/ML models (churn, propensity, lifetime value) + Marketing Automation + Governance.",Customer Data Platform + AI Analytics Workbench + Real-time Decisioning + Marketing Automation Integration,"Campaign response rate naik ke 8-12%, churn turun 25%, cross-sell revenue +18%, marketing ROI naik 3x",Rp35 Miliar,Rp35 Miliar,33%,Chief Marketing Officer / Direktur Retail Banking,"Chief Data Officer, Head of IT, Compliance",Direct Sales,Q4 2026,"SAS, Teradata, local data player seperti Dattabot, Kata.ai","Pre-built banking models (NPL early warning, wealth propensity, credit card upsell) + local data privacy expertise (UU PDP) + quick win use case","Data quality & master data management lemah, silo antar produk (tabungan, kredit, wealth)",Data governance workstream parallel + master data management quick wins + executive data council + phased model deployment,"Real-time Fraud Prevention, Credit Decisioning Engine, Wealth Management Advisory AI","Customer Journey Orchestration, Voice of Customer & Sentiment Analytics",68,80,Data Assessment & Use Case Prioritization Workshop (2 hari),Proposal Preparation,Tim Analytics & Data,2026-07-09,Sudah ada existing relationship di core banking; cross-sell analytics sangat natural. Menunggu CMO approve workshop
OPP-021,COMP-021,Integrated Facility Management (IFM) untuk Kawasan Industri & Perkantoran,New Business,Properti & Kawasan Industri,General Affairs & Facility,"Mengelola 25+ vendor terpisah untuk security, cleaning, MEP, landscaping di 4 kawasan; SLA tidak konsisten, banyak complain.","Standarisasi kualitas sulit, biaya vendor naik, audit ISO & SMK3 sering temukan non-conformance, tenant expectation tinggi.","Response time maintenance >48 jam, security incident naik, cleanliness score rendah, koordinasi vendor memakan waktu GA head.","Single point of contact vendor terintegrasi dengan SLA terukur, teknologi (CAFM/IoT), dan standar internasional.","Pengambilalihan Integrated Facility Management untuk 4 kawasan (security, cleaning, hard & soft service, MEP) dengan CAFM system.",Integrated Facility Management + CAFM/IoT Platform + ISO 41001 Implementation + Training & Certification Gada & Petugas,"Biaya facility turun 15-18%, SLA compliance >98%, single dashboard real-time, tenant satisfaction naik signifikan",Rp52 Miliar,Rp52 Miliar,18%,Direktur Operasional / General Manager Kawasan,"CFO, HSE Manager, Tenant Relations Head",Tender Terbuka,Q1 2027,"Sapta Sarana, Maleo Raja, ISS Indonesia, local GA player",Bundling technology (CAFM + IoT sensor) + local content tinggi + training gratis + proven IFM di kawasan industri competitor,"Transisi vendor & serikat pekerja, ekspektasi tenant vs realita kondisi existing",6 bulan transition plan + joint steering committee + quick win improvement di bulan pertama + transparent SLA dashboard,"Pest Control & Hygiene, Energy Management & Sustainability, Security System Upgrade (CCTV, Access Control)","Space Management & Workplace Experience, Smart Building Integration",52,69,Site Survey & Current State Assessment di 2 kawasan prioritas,Qualification,Tim Facility Management,2026-07-03,Prakualifikasi admin sudah lolos; presentasi teknis & harga dijadwalkan minggu depan
