Product ID,Product Name,Product Category,Product Sub Category,Product Type,Product Description,Business Problem Solved,Target Industry,Target Company Size,Target Department,Ideal Customer Profile,Key Features,Key Benefits,Customer Value Proposition,Business Outcome,Implementation Time,Implementation Complexity,Required Resources,Pricing Model,Pricing Range,Estimated Gross Margin,Sales Cycle,Typical Decision Maker,Buying Trigger,Common Objections,Objection Handling,Cross Sell Products,Upsell Products,Related Pain Point IDs,Related Solution IDs,Success Metrics,Product Status,Owner Business Unit,Reference Project,Last Updated,Notes
PROD-011,RPA + Intelligent Document Processing (IDP),Automation,Process Automation,Service + Software,"Solusi end-to-end otomatisasi dokumen (klaim asuransi, SPPA, underwriting, invoice) menggunakan AI OCR/NLP + RPA bots terintegrasi dengan core system.","Proses manual dokumen lambat, error tinggi, backlog underwriting/klaim, biaya tenaga kerja tinggi di industri asuransi dan perbankan.","Asuransi, Perbankan, Multifinance","Medium, Enterprise","Underwriting, Claims, Operations",Perusahaan asuransi atau bank dengan volume dokumen >5.000/bulan dan proses manual-heavy.,"AI OCR multi-bahasa & handwritten, NLP extraction, RPA orchestration, Human-in-the-loop review, Dashboard analytics, Integration ke LOS/LMS/Core Insurance","Waktu proses turun 70-80%, akurasi >98%, capacity naik tanpa rekrut tambahan, compliance audit trail lengkap.","Otomatisasi dokumen kompleks dengan AI yang paham konteks Indonesia, ROI dalam 12-18 bulan.","Underwriting time dari 11 hari ke 2 hari, klaim processing lebih cepat, cost per document turun signifikan.",2-4 Bulan (phased per use case),Medium-High,"AI/ML Engineer, RPA Developer, Insurance SME, Integration Specialist",Subscription + Usage-based (per document atau per bot),Rp15 Jt - Rp80 Jt / Bulan + Rp500 - Rp5.000 per dokumen diproses,38%,4-8 Bulan,COO / Chief Underwriter / Head of Operations,"Backlog dokumen meningkat, regulasi OJK minta turnaround lebih cepat, kompetitor sudah otomatisasi.",Akurasi AI untuk dokumen Indonesia/handwritten rendah; integrasi ke legacy core rumit.,PoC 4-6 minggu dengan data real klien + phased rollout + human review untuk kasus kompleks + dedicated integration team.,"PROD-004 (BPO Telecollection), PROD-006 (Managed SOC)","Predictive Fraud Detection, Automated Reinsurance","PAIN-033, PAIN-055","SOL-004, SOL-005","Processing time turun 70%, error rate <1%, ROI <18 bulan",Active,Automation & RPA Division,Similar implementation di asuransi jiwa nasional & bank BUKU IV,2026-07-10,Berdasarkan tren IDP global & demand tinggi di Indonesia untuk claims/underwriting automation. Phased approach recommended.
PROD-012,Customer Data Platform (CDP) & Advanced Analytics,Data & Analytics,Customer Analytics,Software + Service,"Platform terpusat yang mengintegrasikan data customer dari multiple source (core banking, CRM, mobile, transaction) menjadi single customer view real-time dengan AI/ML untuk personalization & prediction.","Data customer tersebar di silo, campaign tidak efektif, churn tinggi, cross-sell rendah, sulit compliance marketing regulation.","Perbankan Retail, E-commerce, Fintech",Enterprise,"Marketing, CRM, Data/Analytics",Bank retail atau platform dengan jutaan customer dan multiple touchpoint digital.,"Real-time Customer 360, Identity Resolution, AI Propensity & Churn Model, Next Best Action Engine, Journey Orchestration, Compliance (UU PDP) module","Campaign response rate naik 4-6x, personalization akurat, data governance & privacy compliance.",Single source of truth untuk customer data dengan AI actionable insight yang langsung improve revenue & retention.,"Cross-sell revenue +15-25%, churn turun 20-30%, marketing ROI naik signifikan.",3-6 Bulan,High,"Data Engineer, Data Scientist, Marketing Technologist, Integration Specialist",Subscription tahunan berdasarkan jumlah profile + event volume,Rp500 Jt - Rp3 Miliar / Tahun (enterprise tier),35%,6-12 Bulan,CMO / Chief Data Officer / VP Marketing,"Kompetitor digital bank punya personalization lebih baik, NPL retail naik, butuh better customer insight.","Biaya mahal, butuh data quality improvement dulu, integrasi kompleks.",Quick win use case (churn prediction atau next best product) dalam 8-12 minggu + data assessment gratis + phased implementation per segment.,"PROD-001 (BPO Omnichannel), PROD-006 (SOC untuk data protection)","Real-time Fraud Prevention, Wealth Management AI Advisory",PAIN-089,SOL-001,"Single Customer View tercapai, campaign uplift >300%, compliance score 100%",Active,Data & Analytics Division,Implementasi serupa di bank retail top Indonesia (contoh Meiro/Tealium-like deployments),2026-07-10,Real demand tinggi di perbankan Indonesia untuk CDP. Pricing disesuaikan enterprise Indonesia market.
PROD-013,EV Fleet Conversion & Charging Infrastructure,Mobility & Energy,Electric Vehicle Solutions,Project + Service,"End-to-end solusi konversi armada ke EV (motor/van/truk) termasuk supply vehicle, instalasi charging station (AC/DC fast), fleet management software, dan O&M charging infrastructure.","Biaya BBM & maintenance armada diesel/bensin tinggi, target ESG/net-zero dari holding, regulasi emisi kota semakin ketat.","Logistik Kurir, 3PL, Manufaktur, Pertambangan",Enterprise,Fleet / Supply Chain / Sustainability,Perusahaan dengan armada >200 unit yang beroperasi di area urban atau site tetap.,"EV vehicle sourcing (partner VinFast/BYD dll), Charging station EPC (AC/DC), Smart Charging Management System, Route Optimization EV, Battery monitoring, Carbon reporting","TCO per km turun 15-25% dalam 5 tahun, emisi Scope 1 turun drastis, brand image hijau.","Transisi ke EV yang seamless dengan model financing & infrastructure as a service, tanpa beban CAPEX penuh.","Biaya operasional armada turun, compliance ESG tercapai, operational reliability naik.",4-9 Bulan (pilot + scale),High,"EV Specialist, Electrical Engineer, Fleet Consultant, Project Manager",Hybrid: Vehicle lease + Charging as a Service (per kWh atau fixed monthly) + Software subscription,Rp500 Jt - Rp5 Miliar+ per proyek (tergantung skala armada & charging),18-25%,6-12 Bulan,COO / Supply Chain Director / Sustainability Head,"Target net-zero holding, kenaikan harga BBM, regulasi daerah larang kendaraan fosil.","Range anxiety & charging time, ketersediaan EV commercial terbatas, grid capacity PLN.",Pilot 20-50 unit dulu + feasibility study termasuk grid assessment + partnership dengan PLN/VinFast + battery swapping option untuk rute panjang.,"PROD-003 (PLTS untuk charging), PROD-010 (Dedicated Fleet)","Battery as a Service (BaaS), Second-life battery storage",PAIN-023,SOL-010,"TCO reduction tercapai, uptime charging >99%, Scope 1 emission turun sesuai target",Active,Green Mobility Division,Proyek serupa di kurir express & 3PL Indonesia yang sedang transisi EV (target ribuan charger nasional),2026-07-10,Didorong oleh roadmap EV Indonesia (target puluhan ribu charger). Biaya charging station real IDR 500jt - 2M per unit.
PROD-014,Smart Building BMS & IoT Energy Management,Facility & Building Tech,Building Management System,Software + Hardware + Service,"Modernisasi Building Management System ke platform open protocol + IoT sensor deployment untuk monitoring real-time HVAC, lighting, energy, IAQ, predictive maintenance, dan tenant experience app.","Energy consumption tinggi & tidak terukur per tenant, complaint suhu/IAQ sering, maintenance reaktif mahal, sulit capai green building certification.","Properti Komersial, Mall, Kawasan Industri, Hotel",Enterprise,"Property Management, Engineering, Sustainability",Gedung perkantoran/mall >20.000 m2 dengan BMS legacy atau manual control.,"Open Protocol BMS (Niagara/Siemens-like), IoT Sensor (temp, humidity, CO2, occupancy), Energy Analytics Dashboard, Predictive Maintenance AI, Tenant Mobile App, ESG Reporting","Energy cost turun 15-25%, predictive maintenance kurangi breakdown 40%, tenant satisfaction naik, path ke EDGE/GRESB certification.","Bangunan cerdas yang hemat energi, nyaman penghuni, dan mudah dikelola dengan data real-time.","OPEX facility turun, nilai aset properti naik, compliance sustainability tercapai.",3-6 Bulan (phased floor by floor),Medium-High,"BMS Engineer, IoT Specialist, Energy Consultant, Integration Expert",Project-based EPC + SaaS subscription untuk platform + O&M,Rp800 Jt - Rp8 Miliar per gedung (tergantung ukuran & scope),22%,4-8 Bulan,Property Director / Building Manager / CFO,"Kontrak BMS existing habis, target green certification, tenant complain tinggi, kenaikan biaya listrik.","Disrupsi operasional selama upgrade, biaya awal tinggi.",Phased implementation (non-disruptive) + quick win energy saving di area prioritas + financing/ESCO model + ROI calculator dengan baseline measurement.,"PROD-007 (Facility Management), PROD-003 (PLTS atap untuk gedung)","Indoor Air Quality Monitoring & Alert System, Space Utilization Analytics",PAIN-077,SOL-007,"Energy intensity turun ke target, complaint MEP <2%, predictive maintenance adoption >80%",Active,Smart Building Division,"Upgrade BMS di gedung Grade A Jakarta & Surabaya (provider seperti Schneider, Siemens, local integrator)",2026-07-10,Real demand dari properti komersial yang ingin capai sustainability target. Open protocol penting untuk avoid vendor lock-in.
PROD-015,Corporate LMS & Talent Management Platform,HR Tech,Learning & Development,SaaS + Service,"Platform Learning Experience (LXP) modern + Talent Management Suite (performance, succession, competency) dengan content lokal, compliance module, dan analytics untuk pengembangan SDM skala besar.","Training manual & tidak terukur efektivitasnya, succession planning lemah, knowledge loss saat pensiun massal, reporting ke regulator (BUMN/Kemenaker) lambat.","BUMN, Konglomerat, Manufaktur, Ritel",Enterprise (>5.000 karyawan),Human Capital / Diklat / HRD,Perusahaan dengan program pengembangan SDM strategis dan kebutuhan compliance training tinggi.,"Modern LXP (mobile-first, micro-learning, video), Competency Framework, Performance & OKR, Succession Planning AI, Content authoring lokal, Compliance tracking (UU Cipta Kerja, sertifikasi), People Analytics","Training effectiveness naik, time-to-competency turun, visibility talent pipeline, reporting otomatis ke stakeholder.","Corporate University digital yang scalable, engaging, dan aligned dengan strategi bisnis serta regulasi.","Employee engagement & retention naik, leadership pipeline kuat, compliance 100%.",3-5 Bulan,Medium,"L&D Consultant, Content Developer, Platform Specialist, Change Management Expert",SaaS per user + Implementation & Content Development fee,Rp150 Rb - Rp500 Rb / Karyawan / Tahun + project fee Rp500 Jt - Rp5 Miliar,32%,4-8 Bulan,CHRO / Direktur Human Capital,"Arahan Kementerian BUMN untuk digitalisasi SDM, program transformasi culture, pensiun massal mendekat.",Content development mahal & lama; karyawan tidak mau pakai platform baru.,Library content siap pakai + co-creation workshop + change management & gamification + super user internal + mobile-first experience.,"PROD-005 (Payroll & HRIS), PROD-007 (Facility untuk training center)","Executive Assessment & Coaching Platform, Leadership Development Center Digital",PAIN-055,SOL-005,"Training completion rate >90%, competency gap closure, succession readiness naik",Active,HR Tech & Talent Division,Implementasi Corporate University digital di BUMN & grup perusahaan besar Indonesia,2026-07-10,Demand tinggi dari BUMN & korporasi yang sedang transformasi digital SDM. Content lokal & compliance module critical.
PROD-016,Zero Trust Architecture Implementation & ZTNA,Cybersecurity,Identity & Access,Service + Software,"Implementasi arsitektur Zero Trust end-to-end termasuk ZTNA (Zero Trust Network Access), Identity Governance, Micro-segmentation, Continuous Verification, dan integrasi dengan existing security stack.","Perimeter security tidak cukup di era hybrid/cloud, risiko insider threat & breach tinggi, compliance UU PDP & regulasi sektor (OJK, Kesehatan) ketat.","Perbankan, Kesehatan, Teknologi, Logistik, Pemerintahan","Medium, Enterprise",IT Security / CISO Office,Organisasi dengan hybrid/multi-cloud environment dan mengelola data sensitif/PII dalam jumlah besar.,"ZTNA (replaces VPN), Continuous Authentication & Authorization, Micro-segmentation, Least Privilege Access, Real-time Risk Scoring, Policy as Code, Integration SIEM/EDR","Reduce attack surface drastis, prevent lateral movement, compliance posture naik signifikan, visibility akses end-to-end.","Keamanan 'never trust, always verify' yang modern, scalable, dan sesuai regulasi Indonesia.","Risiko breach turun drastis, MTTD/MTTR cepat, audit finding compliance berkurang.",3-6 Bulan (assessment + pilot + rollout),High,"Zero Trust Architect, Security Engineer, Identity Specialist, Change Management",Project Implementation + Subscription per user/device atau per protected resource,Rp300 Jt - Rp4 Miliar (implementation) + Rp20 Jt - Rp150 Jt / Bulan recurring,40%,5-9 Bulan,CISO / CIO / Head of IT Security,"Kasus ransomware di industri serupa, audit eksternal temukan gap, persiapan compliance UU PDP full enforcement.",Kompleks & mahal; user experience akan terganggu (friction).,Phased rollout mulai dari high-risk apps + shadow mode + user training & change management + measurable quick wins (reduce VPN dependency).,"PROD-006 (Managed SOC), PROD-002 (Cloud IaaS dengan security)","Advanced Threat Protection, Data Loss Prevention (DLP)",PAIN-066,SOL-006,"Zero Trust maturity score naik, breach attempts blocked, compliance audit pass",Active,Cybersecurity Division,Zero Trust deployment di bank & healthcare provider Indonesia,2026-07-10,Tren kuat pasca UU PDP. Fokus pada identity-centric security. Real demand dari CISO yang aware ransomware & data breach cases.
PROD-017,Predictive Maintenance IoT Platform,Industrial IoT,Asset Management,Software + Hardware + Service,"Platform IoT + AI untuk monitoring kondisi aset (mesin, conveyor, genset, pompa) secara real-time dengan sensor vibration, temperature, oil analysis + predictive analytics untuk maintenance before failure.","Maintenance reaktif menyebabkan unplanned downtime mahal, biaya suku cadang & tenaga tinggi, safety issue di site tambang & pabrik.","Pertambangan, Perkebunan, Manufaktur, Energi",Enterprise,Maintenance / Engineering / Operations,Operasional dengan aset critical bernilai tinggi dan downtime berdampak besar ke produksi.,"Wireless IoT Sensor (vibration, temp, pressure), Edge Computing, AI Anomaly Detection & Remaining Useful Life (RUL) prediction, Work Order Integration ke CMMS, Mobile App untuk technician","Unplanned downtime turun 30-50%, maintenance cost turun 20-25%, safety improvement, extended asset life.",Dari reactive ke predictive maintenance dengan insight actionable yang langsung hemat biaya operasional.,"OEE (Overall Equipment Effectiveness) naik, cost per ton produksi turun, reliability operasional meningkat.",3-6 Bulan (pilot di aset critical dulu),High,"IoT Engineer, Data Scientist (predictive model), Maintenance SME, Integration Specialist",Hardware + SaaS subscription per asset + Implementation & model training fee,Rp50 Jt - Rp500 Jt per aset/tahun + project fee,28%,5-10 Bulan,Plant Director / Head of Maintenance / COO,"Unplanned downtime sering & mahal, safety incident, target reliability tinggi dari management.",Sensor & connectivity di remote site sulit; model AI butuh data historis banyak.,Pilot di 10-20 aset critical + hybrid connectivity (LoRa/4G/satellite) + transfer learning dari model existing + phased expansion.,"PROD-009 (Solar Hybrid untuk site), PROD-010 (Fleet Management)","Digital Twin Simulation, Autonomous Maintenance Recommendation",PAIN-099,SOL-009,"Unplanned downtime reduction >30%, maintenance cost saving, prediction accuracy >85%",Active,Industrial IoT Division,Predictive maintenance deployment di tambang & pabrik CPO Indonesia,2026-07-10,Real use case kuat di mining & plantation Indonesia. ROI cepat karena downtime cost sangat tinggi.
PROD-018,Digital Debt Collection Self-Service Platform,Fintech & Risk,Collection Technology,SaaS + Service,"Platform digital collection omnichannel (WhatsApp Business API resmi, self-service portal, AI Voicebot, SMS/Email) dengan treatment strategy AI, payment gateway, dan full compliance recording & audit untuk OJK/AFPI.","Recovery rate rendah, cost collection tinggi (field visit & call center), compliance risk (etika penagihan OJK), nasabah unreachable via traditional channel.","Multifinance, Fintech P2P, Bank Retail, Leasing","Medium, Enterprise",Collection / Risk / Operations,Lembaga keuangan dengan portofolio NPL bucket 1-3 yang signifikan dan butuh efisiensi collection.,"Omnichannel Digital (WA, App, Voicebot), AI Treatment Strategy & Scoring, Self-Service Payment & Restructuring, Full Call Recording & QA, OJK/AFPI Compliance Module, Analytics Dashboard","Recovery rate naik 10-15 poin, cost per successful collection turun 30-40%, compliance 100%, better debtor experience.","Collection modern yang efektif, patuh regulasi, dan ramah nasabah dengan self-service option.","NPL turun, cash flow sehat, reputasi collection lebih baik, skalabilitas tanpa tambah headcount besar.",2-4 Bulan,Medium,"Collection Consultant, AI Specialist, Integration ke LOS/LMS, Compliance Officer",SaaS subscription + Success fee atau per active account,Rp10 Jt - Rp60 Jt / Bulan + 5-15% success fee atau per account fee,42%,3-6 Bulan,Chief Risk Officer / Head of Collection,"NPL naik signifikan, OJK perketat aturan collection, cost collection internal tinggi.",Nasabah tidak mau pakai digital channel; integrasi ke core system rumit.,Hybrid model (digital first + agent assist) + A/B testing treatment + easy integration API + full audit trail untuk regulator.,"PROD-004 (BPO Telecollection), PROD-011 (RPA untuk dokumen collection)","Early Warning System & Behavioral Scoring, Restructuring Workflow Automation",PAIN-033,SOL-004,"Recovery rate improvement, cost per collection turun, compliance score 100%",Active,Fintech Risk & Collection Division,Digital collection platform di multifinance & P2P lending Indonesia,2026-07-10,Sangat relevan dengan kondisi makro & regulasi OJK collection. Self-service + AI sangat efektif.
PROD-019,Warehouse Management System (WMS) SaaS + AMR Integration,Supply Chain Tech,Warehouse Automation,Software + Robotics as a Service,"WMS cloud modern + integrasi Autonomous Mobile Robots (AMR) untuk picking, putaway, dan inventory management real-time dengan dashboard visibility end-to-end.","Fulfillment lambat & error tinggi, throughput rendah saat peak, kekurangan tenaga kerja gudang skilled, visibility inventory buruk.","E-commerce 3PL, Ritel, Manufaktur, Logistik","Medium, Enterprise",Warehouse / Operations / Supply Chain,Gudang dengan volume tinggi (>10.000 order/hari) atau multi-client 3PL yang butuh skalabilitas.,"WMS Cloud (real-time inventory, wave planning, slotting), AMR Fleet Management, Voice Picking Integration, Barcode/RFID, Integration ke Marketplace/TMS/ERP, Analytics & KPI Dashboard","Fulfillment time turun 50-70%, picking accuracy >99.5%, throughput naik 2-3x, labor dependency turun.","Warehouse modern yang scalable, akurat, dan efisien dengan model RaaS (tanpa CAPEX robot besar).","OTIF (On-Time In-Full) >98%, cost per order turun, customer satisfaction naik.","3-6 Bulan (WMS dulu, AMR phased)",High,"WMS Consultant, Robotics Engineer, Integration Specialist, Warehouse SME",SaaS WMS per user/pallet + RaaS AMR (per robot/bulan) + Implementation,Rp20 Jt - Rp150 Jt / Bulan (WMS) + Rp5 Jt - Rp15 Jt / robot / Bulan,25%,5-9 Bulan,COO / VP Supply Chain / Warehouse Manager,"Ekspansi volume e-commerce, SLA buyer ketat, labor shortage, kompetitor sudah otomatisasi.",Biaya robot mahal; integrasi dengan existing system sulit.,RaaS model (no heavy upfront) + PoC di 1 gudang + standard API integration + training & change management.,"PROD-010 (Dedicated Fleet), PROD-001 (BPO untuk returns processing)","Predictive Inventory & Demand Forecasting, Value Added Services Automation",PAIN-023,SOL-010,"Picking accuracy >99.5%, order cycle time reduction, labor productivity naik",Active,Supply Chain Automation Division,WMS + AMR implementation di 3PL & e-commerce fulfillment center Indonesia,2026-07-10,Tren warehouse automation naik tajam di Indonesia. RaaS model membuat accessible untuk mid-market.
PROD-020,Multi-Cloud FinOps & Governance Platform,Cloud Management,FinOps & Cost Optimization,Software + Service,"Platform FinOps terpusat untuk visibility, allocation, optimization, dan governance biaya multi-cloud (AWS, Azure, GCP, Alibaba) dengan policy as code, anomaly detection, dan chargeback/showback.","Cloud spend overrun & tidak terkontrol, shadow IT, tag tidak konsisten, tidak ada visibility per business unit, audit finding biaya cloud.","Konglomerat, Perbankan, Teknologi, E-commerce",Enterprise,IT Finance / Cloud COE / CFO Office,Organisasi dengan multi-cloud spend >Rp10 Miliar/bulan dan butuh kontrol serta accountability.,"Unified Cost Dashboard, Anomaly Detection & Alert, Rightsizing & Reserved Instance Recommendation, Policy as Code (FinOps), Chargeback/Showback, Carbon Footprint Tracking, Integration ke existing CMDB/ITSM","Cloud cost turun 15-30% dalam 6 bulan pertama, visibility 100%, accountability per BU, compliance & audit ready.",Kontrol penuh atas cloud spend dengan insight actionable dan governance yang kuat tanpa menghambat agility tim engineering.,"Cloud OPEX terkendali, budget forecasting akurat, waste elimination, better decision making.",2-4 Bulan,Medium,"FinOps Consultant, Cloud Architect, Data Analyst, Change Management",SaaS subscription berdasarkan cloud spend volume + Implementation & optimization service,Rp50 Jt - Rp300 Jt / Bulan + success-based optimization fee,35%,4-7 Bulan,CFO / Group CIO / Head of Cloud / IT Finance,"Cloud bill melonjak tidak terduga, audit internal/eksternal temukan waste, board minta cost control.",Butuh perubahan culture & process; data tag existing buruk.,Quick win rightsizing & reserved instance + tag governance program parallel + executive dashboard untuk BOD + training FinOps certification.,"PROD-002 (Managed Cloud IaaS), PROD-006 (SOC untuk cloud security)","Cloud Workload Optimization, Sustainability (Carbon) Reporting",PAIN-101,SOL-002,"Cloud spend reduction >15%, waste elimination, FinOps maturity score naik",Active,Cloud Services Division,FinOps implementation di konglomerat & bank dengan multi-cloud footprint,2026-07-10,Real pain point besar di enterprise Indonesia yang sudah migrasi cloud. FinOps adalah best practice global yang sedang naik.
PROD-021,Managed Network Operations Center (NOC) Service,IT Services,Network Operations,Service,"24/7 managed monitoring and incident handling for enterprise WAN/LAN and ISP links, with tiered escalation and monthly SLA reporting.",Network incidents detected late; internal NOC capacity insufficient for multi-site operations.,"Telecommunications, Banking, Retail Trade, Logistics","Medium, Enterprise",IT Network / Infrastructure,Multi-branch enterprises with >20 sites and critical always-on connectivity.,"24/7 monitoring, ticket escalation, SLA dashboards, multi-vendor device support","Faster MTTD/MTTR, predictable opex, reduced unplanned downtime",Always-on network supervision without building a full internal NOC.,Link availability and incident response meet contractual SLA,1-2 Months,Medium,"NOC analysts, network engineers, tooling",Monthly subscription per site / device tier,Rp15 Jt - Rp120 Jt / month,30%,2-4 Months,IT Director / Head of Infrastructure,Multi-site expansion or repeated SLA breaches,Fear of losing control of network knowledge,"Shared runbooks, transparent dashboards, exit/knowledge transfer clause",,,,,"Uptime %, MTTD, MTTR, ticket backlog",Active,IT Managed Services,Sector-pattern service class (no private client claim); see Notes sources,2026-07-10,confidence=0.90 | sources=SRC-000004;SRC-000005;SRC-000001 | retrieved=2026-07-10; version=knowledge-v2.0-batch-002-service; batch=Batch-002 | published_ref=2024-01-01 | class=B2B_service_catalog | grounding=trusted_public_sector_knowledge_categories_not_private_client_claim | dps=v1.0
PROD-022,Application Managed Services (AMS),IT Services,Application Support,Service,"Lifecycle support for enterprise applications including L1-L3 support, release coordination, and performance monitoring under defined SLAs.",Core apps unstable after go-live; internal team overloaded with tickets.,"Banking, Insurance, Manufacturing, E-commerce","Medium, Enterprise",IT Application / Digital,Organizations running mission-critical ERP/core systems with continuous change volume.,"Tiered support, change management, performance baselining, vendor liaison","Stable production ops, clear SLAs, capacity without permanent headcount spikes",Keep business systems healthy after implementation projects end.,P1/P2 incidents resolved within SLA; release quality improves,1-3 Months,Medium-High,"App support engineers, SMEs, release managers",Monthly managed service + optional T&M change packs,Rp40 Jt - Rp300 Jt / month,32%,3-6 Months,CIO / Head of Applications,Warranty end after SI project or audit findings on support gaps,Vendor lock-in and knowledge drain,Joint governance board + documented knowledge base + quarterly transition drills,,,,,"SLA attainment, reopen rate, change failure rate",Active,Application Services,Sector-pattern service class (no private client claim); see Notes sources,2026-07-10,confidence=0.89 | sources=SRC-000004;SRC-000005;SRC-000009 | retrieved=2026-07-10; version=knowledge-v2.0-batch-002-service; batch=Batch-002 | published_ref=2023-06-01 | class=B2B_service_catalog | grounding=trusted_public_sector_knowledge_categories_not_private_client_claim | dps=v1.0
PROD-023,Cloud Migration & Landing Zone Service,IT Services,Cloud Transformation,Service,"Assessment, landing-zone design, workload migration, and hypercare for public/private cloud moves aligned to security and data-residency requirements.",Legacy on-prem capacity constraints; ad-hoc cloud usage without governance.,"Banking, Fintech, Software & SaaS, Government-related enterprises","Medium, Enterprise",Cloud COE / IT Architecture,Enterprises with multi-workload estates and compliance constraints (data localization).,"Readiness assessment, landing zone, phased migration, hypercare, cost baseline","Controlled migration, reduced cutover risk, baseline FinOps visibility","Move to cloud with governance and residency controls, not a lift-and-hope.",Workloads migrated with documented rollback and cost model,3-9 Months,High,"Cloud architects, security, migration engineers",Project + optional managed cloud ops,Rp500 Jt - Rp8 Miliar project,28%,4-9 Months,CIO / Cloud Lead,Hardware EOL or board digital program,Migration risk and hidden cloud cost,Pilot wave + dual-run window + FinOps baseline in SOW,,,,,"Workloads migrated, downtime during cutover, post-migrate cost variance",Active,Cloud Services,Sector-pattern service class (no private client claim); see Notes sources,2026-07-10,confidence=0.91 | sources=SRC-000004;SRC-000005;SRC-000010 | retrieved=2026-07-10; version=knowledge-v2.0-batch-002-service; batch=Batch-002 | published_ref=2023-01-01 | class=B2B_service_catalog | grounding=trusted_public_sector_knowledge_categories_not_private_client_claim | dps=v1.0
PROD-024,Colocation & Remote Hands Data Center Service,IT Services,Data Center Operations,Service,Rack colocation with power/cooling SLAs and remote-hands operational support for enterprise IT and content platforms.,"On-prem data rooms cannot meet uptime, power density, or connectivity needs.","Data Centers & Cloud Infrastructure, Telecommunications, Banking, E-commerce","Medium, Enterprise",IT Infrastructure,Workloads needing carrier density and facility-class availability in Indonesia.,"Tiered power, cross-connects, remote hands, environmental monitoring",Higher facility reliability without building private DC,Enterprise-grade facility services with operational support.,Facility availability and power SLA met,2-8 Weeks,Medium,"DC ops, facilities engineers",Monthly rack/power + remote hands packs,Rp8 Jt - Rp80 Jt / rack / month,25%,2-5 Months,Head of Infrastructure / CIO,Capacity or certification gap in existing room,Data leaving premises concerns,Local DC options + access control + audit trails,,,,,"Power availability, ticket response time, PUE where reported",Active,Data Center Services,Sector-pattern service class (no private client claim); see Notes sources,2026-07-10,confidence=0.90 | sources=SRC-000004;SRC-000006;SRC-000001 | retrieved=2026-07-10; version=knowledge-v2.0-batch-002-service; batch=Batch-002 | published_ref=2022-01-01 | class=B2B_service_catalog | grounding=trusted_public_sector_knowledge_categories_not_private_client_claim | dps=v1.0
PROD-025,Managed Endpoint & Device Lifecycle Service,IT Services,End User Computing,Service,"Device procurement support, imaging, MDM enrollment, patching, and refresh lifecycle for enterprise endpoints.","Endpoint sprawl, inconsistent patching, and high break-fix cost across sites.","Banking, Retail Trade, Manufacturing, Professional Services","Medium, Enterprise",IT Service Desk / EUC,Organizations with >500 managed endpoints and hybrid work models.,"MDM, patch baselines, asset inventory, refresh planning",Lower risk from unpatched devices; predictable refresh opex,Standardized endpoint operations as a managed service.,Patch compliance and device inventory accuracy improve,1-3 Months,Medium,"EUC engineers, service desk",Per device / month,Rp50 Rb - Rp250 Rb / device / month,35%,2-4 Months,IT Operations Manager,Audit finding on patching or major OS migration,Perceived higher cost vs internal staff,TCO comparison including overtime and breach risk,,,,,"Patch compliance %, MTTR endpoint, inventory accuracy",Active,EUC Services,Sector-pattern service class (no private client claim); see Notes sources,2026-07-10,confidence=0.88 | sources=SRC-000005;SRC-000004;SRC-000011 | retrieved=2026-07-10; version=knowledge-v2.0-batch-002-service; batch=Batch-002 | published_ref=2023-01-01 | class=B2B_service_catalog | grounding=trusted_public_sector_knowledge_categories_not_private_client_claim | dps=v1.0
PROD-026,Identity Governance Administration Service,Cybersecurity,Identity Services,Service,"Managed joiner-mover-leaver processes, access reviews, and privileged access hygiene for enterprise identity estates.",Orphan accounts and delayed deprovisioning create access risk.,"Banking, Insurance, Healthcare Services, Telecommunications",Enterprise,IAM / IT Security,Regulated industries with frequent workforce change and audit cycles.,"Access certification campaigns, SoD checks, privileged account inventory",Fewer orphan accounts; faster audit evidence collection,Keep access rights aligned to roles without permanent specialist headcount.,Certification completion rate and deprovision SLA improve,2-4 Months,High,"IAM analysts, security engineers",Monthly managed service + project remediation,Rp60 Jt - Rp250 Jt / month,38%,4-7 Months,CISO / Head of IAM,External audit finding or PDP compliance program,Integration difficulty with legacy directories,Phased connectors + manual bridge processes for long-tail apps,,,,,"Orphan account rate, deprovision time, certification completion",Active,Security Services,Sector-pattern service class (no private client claim); see Notes sources,2026-07-10,confidence=0.90 | sources=SRC-000010;SRC-000004;SRC-000005 | retrieved=2026-07-10; version=knowledge-v2.0-batch-002-service; batch=Batch-002 | published_ref=2022-06-01 | class=B2B_service_catalog | grounding=trusted_public_sector_knowledge_categories_not_private_client_claim | dps=v1.0
